id,datum_von,datum_bis,hoehe,lat,lon,name,bundesland,height
222,19911102,20220503,393,"50.5908","12.7139",Aue,Sachsen,Z2
550,20020515,20220502,344,"50.9041","11.7985",Bobeck,Th�ringen,Z2
633,20021128,20220502,126,"51.4041","14.5681",Boxberg,Sachsen,Z1
721,20021121,20220502,101,"51.5171","12.4362",Sch�nw�lkau-Brinnis,Sachsen,Z1
840,19911108,20220502,895,"50.4313","12.6114",Carlsfeld,Sachsen,Z3
853,19911107,20220502,416,"50.7913","12.872",Chemnitz,Sachsen,Z2
1001,19911107,20220502,97,"51.6451","13.5747",Doberlug-Kirchhain,Brandenburg,Z1
1048,19911122,20220502,228,"51.1278","13.7543",Dresden-Klotzsche,Sachsen,Z2
1358,19911112,20220502,1213,"50.4283","12.9536",Fichtelberg,Sachsen,Z3
1612,19911107,20220502,311,"50.8812","12.1289",Gera-Leumnitz,Th�ringen,Z2
1684,19911102,20220502,239,"51.1621","14.9506",G�rlitz,Sachsen,Z2
2233,20021113,20220502,446,"50.404","11.8193",Hirschberg,Th�ringen,Z3
2261,19980212,20220502,565,"50.3123","11.876",Hof,Bayern,Z3
2274,20020911,20220502,518,"50.092","12.2134",Hohenberg/Eger,Bayern,Z3
2878,19930122,20220502,117,"51.3909","11.8786","Lauchst�dt, Bad",Sachsen-Anhalt,Z1
2928,19970206,20220502,138,"51.3151","12.4462",Leipzig-Holzhausen,Sachsen,Z1
2932,19911101,20220502,131,"51.4347","12.2396",Leipzig/Halle,Sachsen,Z1
2985,19911102,20220502,321,"50.9383","14.2094",Lichtenhain-Mittelndorf,Sachsen,Z2
3166,19911103,20220502,639,"50.6511","13.1469",Marienberg,Sachsen,Z3
3279,20020515,20220502,173,"51.0452","12.2989",Meuselwitz,Th�ringen,Z2
3426,20021218,20220502,127,"51.566","14.7008","Muskau, Bad",Sachsen,Z1
3811,19911107,20220502,150,"51.296","13.0928",Oschatz,Sachsen,Z1
3946,19911102,20220502,387,"50.4818","12.13",Plauen,Sachsen,Z2
4109,20020617,20220502,586,"50.2214","12.0275",Rehau,Bayern,Z3
4464,19911102,20220502,501,"50.5679","11.8041",Schleiz,Th�ringen,Z3
4818,20020617,20220502,597,"50.1531","11.7402",Stammbach-Querenbach,Bayern,Z3
5629,19920417,20220502,105,"51.8891","12.6446",Wittenberg,Sachsen-Anhalt,Z1
5779,19911102,20220502,877,"50.7313","13.7516",Zinnwald-Georgenfeld,Sachsen,Z3
6268,20021101,20220502,173,"50.7577","11.5178",Uhlst�dt-Kirchhasel-Nie,Th�ringen,Z2
